owner_code	date	held_shares	change
vanguard-group-inc-61322	2017-12-31	348468032	3879342
blackrock-inc-711679	2017-12-31	319715585	5112055
state-street-corp-6697	2017-12-31	208739070	2291579
berkshire-hathaway-inc-54239	2017-12-31	165333962	31241180
fmr-llc-12407	2017-12-31	121724426	-23765684
price-t-rowe-associates-inc-md-2145	2017-12-31	72476069	973363
northern-trust-corp-10923	2017-12-31	65684289	-1962144
geode-capital-management-llc-396991	2017-12-31	56447158	1356879
bank-of-new-york-mellon-corp-736081	2017-12-31	53301694	360312
jpmorgan-chase--co-8702	2017-12-31	51621255	-1140335
norges-bank-720003	2017-12-31	50785599	2212729
invesco-ltd-12291	2017-12-31	49527473	1498868
morgan-stanley-5929	2017-12-31	41230512	5619361
bank-of-america-corp-de-15519	2017-12-31	39386955	-2714395
goldman-sachs-group-inc-11158	2017-12-31	35376782	4225958
wellington-management-group-llp-21351	2017-12-31	30465819	2135580
tiaa-cref-investment-management-llc-62790	2017-12-31	29280551	-399954
wells-fargo--companymn-8130	2017-12-31	28583848	-536277
capital-world-investors-767199	2017-12-31	27573400	-10282391
ameriprise-financial-inc-14081	2017-12-31	26586075	-211087
legal--general-group-plc-63443	2017-12-31	25362324	-1030878
jennison-associates-llc-34450	2017-12-31	25072154	-1621737
janus-henderson-group-plc-611780	2017-12-31	22506000	651841
alliancebernstein-lp-74662	2017-12-31	21275842	-1139429
schwab-charles-investment-management-inc-63069	2017-12-31	19262302	570279
swiss-national-bank-913041	2017-12-31	19140416	-108100
ubs-group-ag-940594	2017-12-31	18299337	3603455
capital-research-global-investors-767200	2017-12-31	18139637	-9817890
franklin-resources-inc-8481	2017-12-31	17973880	-857192
royal-bank-of-canada-4687	2017-12-31	17545148	1583440
ubs-asset-management-americas-inc-16304	2017-12-31	17361408	3739
susquehanna-international-group-llp-792195	2017-12-31	17079948	3158159
magellan-asset-management-ltd-882460	2017-12-31	16707733	627563
dimensional-fund-advisors-lp-24027	2017-12-31	16103044	-337067
sumitomo-mitsui-trust-holdings-inc-815213	2017-12-31	15841037	346446
manufacturers-life-insurance-company-the-36639	2017-12-31	15175856	-137196
new-york-state-common-retirement-fund-57993	2017-12-31	15052893	-17859
american-century-companies-inc-13603	2017-12-31	14003511	-654854
deutsche-bank-ag-33518	2017-12-31	13868999	-1940213
hsbc-holdings-plc-8344	2017-12-31	13555891	2453724
amundi-pioneer-asset-management-inc-86974	2017-12-31	13228306	4448509
parametric-portfolio-associates-llc-89337	2017-12-31	12655455	546385
california-public-employees-retirement-system-16324	2017-12-31	12600210	-221947
allianz-asset-management-gmbh-887648	2017-12-31	12184601	58652
prudential-financial-inc-85324	2017-12-31	11338143	135882
fisher-asset-management-llc-14186	2017-12-31	11206974	318571
teachers-advisors-llc-62788	2017-12-31	10734601	281385
credit-suisse-ag-36611	2017-12-31	10633115	509051
mitsubishi-ufj-trust--banking-corp-809514	2017-12-31	10607293	-66291
canada-pension-plan-investment-board-627326	2017-12-31	10567157	1530500
oppenheimerfunds-inc-13401	2017-12-31	10271719	-103824
principal-financial-group-inc-80236	2017-12-31	10221998	281483
bank-of-montreal-can-48922	2017-12-31	9997913	-77296
apg-asset-management-nv-778338	2017-12-31	9531249	-303770
nordea-investment-management-ab-396811	2017-12-31	9315107	-343985
california-state-teachers-retirement-system-60377	2017-12-31	9137485	286523
massachusetts-financial-services-co-ma-13671	2017-12-31	8953506	-229758
rhumbline-advisers-79779	2017-12-31	8913487	77653
pnc-financial-services-group-inc-4948	2017-12-31	8867981	-249720
new-york-state-teachers-retirement-system-12810	2017-12-31	8801564	-65309
sanders-capital-llc-847344	2017-12-31	8623285	139700
asset-management-one-co-ltd-63352	2017-12-31	8411445	1543
state-farm-mutual-automobile-insurance-co-13234	2017-12-31	8174563	0
swedbank-957699	2017-12-31	8060960	-73198
aqr-capital-management-llc-98293	2017-12-31	7639827	592700
standard-life-aberdeen-plc-1037457	2017-12-31	7624503	-7573
waddell--reed-financial-inc-1370	2017-12-31	7584663	205597
eaton-vance-management-58625	2017-12-31	7271940	-342258
state-board-of-administration-of-florida-retirement-system-58515	2017-12-31	7244947	-308611
voya-investment-management-llc-63232	2017-12-31	7094994	-119519
adage-capital-partners-gp-llc-95432	2017-12-31	7029352	-110100
clearbridge-investments-llc-695765	2017-12-31	6885925	404848
state-of-wisconsin-investment-board-12995	2017-12-31	6602243	-45178
barclays-plc-58372	2017-12-31	6507770	1917962
standard-life-investments-ltd-847496	2017-06-30	6430954	-283080
putnam-investments-llc-765109	2017-12-31	6342169	-369073
td-asset-management-inc-48888	2017-12-31	6261876	-49212
schroder-investment-management-group-63439	2017-12-31	6095139	-355296
fred-alger-management-inc-27874	2017-12-31	5917523	-1849263
neuberger-berman-group-llc-806551	2017-12-31	5667769	-35347
panagora-asset-management-inc-62359	2017-12-31	5471844	-102548
epoch-investment-partners-inc-652677	2017-12-31	5439416	-403726
d-e-shaw--co-inc-63744	2017-12-31	5421808	-2597672
fayez-sarofim--co-22084	2017-12-31	5023756	-279829
raymond-james--associates-63001	2017-12-31	4956286	265912
chevy-chase-trust-holdings-inc-804590	2018-03-31	4939941	-151093
great-west-life-assurance-co-can-179401	2017-12-31	4870723	-20228
los-angeles-capital-management--equity-research-inc-376370	2017-12-31	4839665	175896
appaloosa-lp-986959	2017-12-31	4587852	3226852
state-of-new-jersey-common-pension-fund-d-820824	2017-12-31	4585000	85000
united-services-automobile-association-63042	2017-12-31	4324708	-137167
grantham-mayo-van-otterloo--co-llc-698786	2017-12-31	4316851	60906
coatue-management-llc-84430	2017-12-31	4314889	-2837897
korea-investment-corp-784895	2017-12-31	4298489	77400
new-england-asset-management-inc-62094	2017-12-31	4238675	-2000
strs-ohio-43705	2017-12-31	4220194	-187834
capital-international-investors-893016	2017-12-31	4183062	-436390
national-pension-service-948917	2017-12-31	4151739	73182
pictet-asset-management-ltd-639009	2017-12-31	4148125	186208
boston-partners-741535	2017-12-31	4105569	424057
stifel-financial-corp-4200	2017-12-31	3834370	-49384
lazard-asset-management-llc-406745	2017-12-31	3765282	23472
us-bancorp-de-11930	2017-12-31	3759466	505
state-of-tennessee-treasury-department-920379	2017-12-31	3753567	-8606
public-employees-retirement-system-of-ohio-48200	2017-12-31	3707047	-191342
independent-franchise-partners-llp-821601	2017-12-31	3705132	51744
harris-associates-l-p-13732	2017-12-31	3684788	-17865
axa-45522	2017-12-31	3663447	66656
atlantic-trust-group-llc-646527	2017-12-31	3569419	-72115
public-employees-retirement-association-of-colorado-39619	2017-12-31	3560853	248431
bessemer-group-inc-47847	2017-12-31	3555228	-261876
wellcome-trust-ltd-the-as-trustee-of-the-wellcome-trust-33968	2017-12-31	3500000	0
retirement-systems-of-alabama-957301	2017-12-31	3437553	-17776
proshare-advisors-llc-703786	2017-12-31	3437343	960152
citigroup-inc-12025	2017-12-31	3432580	103193
first-manhattan-co-35915	2017-12-31	3426953	26437
aviva-plc-89351	2017-12-31	3304902	-455014
aperio-group-llc-717326	2017-12-31	3244522	147331
winslow-capital-management-llc-64122	2017-12-31	3167187	-771156
thrivent-financial-for-lutherans-71552	2017-12-31	3151814	-48069
toronto-dominion-bank-10177	2017-12-31	3114246	146331
prudential-plc-63028	2017-12-31	3075074	11058
aberdeen-asset-management-plcuk-63375	2017-06-30	2877200	40661
blair-william--coil-14210	2017-12-31	2774175	-13726
teacher-retirement-system-of-texas-66768	2017-12-31	2742579	-624052
commonwealth-equity-services-llc-102781	2017-12-31	2712964	85517
fil-ltd-18709	2017-12-31	2712298	-206166
ursa-fund-management-llc-1019317	2017-12-31	2700500	-630700
gateway-investment-advisers-llc-76186	2017-12-31	2697451	-138069
public-sector-pension-investment-board-748435	2017-12-31	2634453	1646152
state-treasurer-state-of-michigan-40340	2017-12-31	2579391	15700
brandywine-global-investment-management-llc-27853	2017-12-31	2575365	-191827
calamos-advisors-llc-664235	2017-12-31	2573429	-185611
amp-capital-investors-ltd-900014	2017-12-31	2525654	-168736
british-columbia-investment-management-corp-403975	2017-12-31	2479006	85919
carmignac-gestion-902749	2017-12-31	2473735	2473735
guggenheim-capital-llc-632174	2017-12-31	2440868	366029
first-republic-investment-management-inc-762399	2017-12-31	2411356	-11025
glenmede-trust-co-na-27215	2017-12-31	2382869	-2734
dz-bank-ag-deutsche-zentral-genossenschafts-bank-frankfurt-1015816	2017-12-31	2381824	210237
diamond-hill-capital-management-inc-395031	2017-12-31	2320096	-30236
creative-planning-872574	2017-12-31	2306403	-128772
pggm-investments-819140	2017-12-31	2305200	202386
nomura-holdings-inc-96325	2017-12-31	2299870	1571199
acadian-asset-management-llc-66432	2017-12-31	2264478	-188913
caisse-de-depot-et-placement-du-quebec-68712	2017-12-31	2259294	-201200
cornerstone-capital-management-holdings-llc-805037	2017-12-31	2194002	-74992
greenlight-capital-inc-62659	2017-12-31	2192900	0
keybank-national-associationoh-65055	2017-12-31	2181399	-75535
nn-investment-partners-holdings-nv-994194	2017-12-31	2160988	-337054
cibc-world-markets-corp-62844	2017-12-31	2159514	687707
brown-advisory-inc-692390	2017-12-31	2124318	-31859
