owner_code	date	held_shares	change
blackrock-inc-711679	2017-12-31	56469345	1602555
price-t-rowe-associates-inc-md-2145	2017-12-31	52635626	728068
baillie-gifford--co-64690	2017-12-31	44716351	-858215
state-street-corp-6697	2017-12-31	37360031	4322353
temasek-holdings-private-ltd-33497	2017-12-31	35495289	0
hsbc-holdings-plc-8344	2017-12-31	30595426	-14195
fmr-llc-12407	2017-12-31	28454919	1741652
capital-research-global-investors-767200	2017-12-31	26670411	-5334991
vanguard-group-inc-61322	2017-12-31	23505497	8699995
schroder-investment-management-group-63439	2017-12-31	23229802	-170403
jennison-associates-llc-34450	2017-12-31	18011768	14315
goldman-sachs-group-inc-11158	2017-12-31	17170797	2124488
oppenheimerfunds-inc-13401	2017-12-31	16055811	1122712
primecap-management-coca-40504	2017-12-31	15379928	-71470
jpmorgan-chase--co-8702	2017-12-31	15134670	118081
morgan-stanley-5929	2017-12-31	14515603	3300909
sands-capital-management-llc-62214	2017-12-31	14494696	-443895
ubs-asset-management-americas-inc-16304	2017-12-31	13467207	519382
wellington-management-group-llp-21351	2017-12-31	13240896	-301099
capital-world-investors-767199	2017-12-31	13174978	-7178012
fil-ltd-18709	2017-12-31	13007086	112592
boussard--gavaudan-investment-management-llp-940658	2017-12-31	12563258	964361
loomis-sayles--co-l-p-80684	2017-12-31	12189284	-651579
fisher-asset-management-llc-14186	2017-12-31	10671199	383104
bank-of-america-corp-de-15519	2017-12-31	10301169	-3438609
vontobel-asset-management-inc-79873	2018-03-31	9200886	261540
invesco-ltd-12291	2017-12-31	8757353	-274496
northern-trust-corp-10923	2017-12-31	7664903	134409
ameriprise-financial-inc-14081	2017-12-31	7292475	-236060
lone-pine-capital-llc-51462	2017-12-31	6347975	-2467034
northern-cross-llc-804656	2017-12-31	6022164	-459546
third-point-llc-41160	2017-12-31	6000000	-600000
franklin-resources-inc-8481	2017-12-31	5804712	831767
deutsche-bank-ag-33518	2017-12-31	5802154	-739498
primavera-capital-management-ltd-1006534	2017-12-31	5727262	0
artisan-partners-limited-partnership-810204	2017-12-31	5657442	-1676169
investec-asset-management-ltd-762915	2017-12-31	5582962	289037
massachusetts-financial-services-co-ma-13671	2017-12-31	5548809	-213622
william-blair-investment-management-llc-976905	2017-12-31	5316185	-1082908
royal-bank-of-canada-4687	2017-12-31	5251177	586219
credit-suisse-ag-36611	2017-12-31	4695716	-1052359
janus-henderson-group-plc-611780	2017-12-31	4589342	68027
legal--general-group-plc-63443	2017-12-31	4573877	1111583
coatue-management-llc-84430	2017-12-31	4556219	-1272989
ubs-group-ag-940594	2017-12-31	4463943	-63143
appaloosa-lp-986959	2017-12-31	4320234	757734
allianz-asset-management-gmbh-887648	2017-12-31	4064501	-288142
dsm-capital-partners-llc-393106	2017-12-31	3963072	-255379
waddell--reed-financial-inc-1370	2017-12-31	3944708	-459653
aqr-capital-management-llc-98293	2017-12-31	3894951	-27548
sumitomo-mitsui-trust-holdings-inc-815213	2017-12-31	3866327	275841
genesis-asset-managers-llp-647045	2018-03-31	3811666	-248258
tiger-global-management-llc-98158	2017-12-31	3801545	-735200
norges-bank-720003	2017-12-31	3756600	3756600
apg-asset-management-nv-778338	2017-12-31	3736642	-18700
silver-lake-group-llc-770515	2017-12-31	3587218	0
canada-pension-plan-investment-board-627326	2017-12-31	3508845	-27061
wells-fargo--companymn-8130	2017-12-31	3503002	336832
davis-selected-advisers-39656	2017-12-31	3492429	2938101
american-century-companies-inc-13603	2017-12-31	3376786	-274117
wellcome-trust-ltd-the-as-trustee-of-the-wellcome-trust-33968	2017-12-31	3250000	0
barclays-plc-58372	2017-12-31	3240187	1524984
alliancebernstein-lp-74662	2017-12-31	3090580	-27331
egerton-capital-uk-llp-919898	2017-12-31	3061644	125850
mirae-asset-global-investments-co-ltd-899564	2017-12-31	3002647	2186291
hillhouse-capital-management-ltd-847791	2017-12-31	2999020	-571429
amundi-pioneer-asset-management-inc-86974	2017-12-31	2979321	2946365
commerzbank-aktiengesellschaft-fi-95599	2017-12-31	2973500	1205786
nordea-investment-management-ab-396811	2017-12-31	2900771	279525
mitsubishi-ufj-trust--banking-corp-809514	2017-12-31	2817484	-145
tiaa-cref-investment-management-llc-62790	2017-12-31	2805079	-55365
dz-bank-ag-deutsche-zentral-genossenschafts-bank-frankfurt-1015816	2017-12-31	2684748	-86888
trg-investments-llc-995081	2017-06-30	2683016	0
lazard-asset-management-llc-406745	2017-12-31	2631098	-39294
